ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
16697,5.0,CHAMARTÍN,CALL. MATEO INURRIA / CALL. HIEDRA,,,25,
16698,1.0,CENTRO,CALL. SAN VICENTE FERRER / CALL. SAN BERNARDO,,,62,
16699,19.0,VICÁLVARO,CALL. PERGAMINO / CALL. ESTRELLITA CASTRO,,,30A,
16700,2.0,ARGANZUELA,"RONDA. ATOCHA, 17",,,17,
16701,1.0,CENTRO,"CALL. ACUERDO, 16",,,16,
16702,7.0,CHAMBERÍ,"CALL. TRAFALGAR, 21",,,21,
16703,4.0,SALAMANCA,"AUTOV. M-30, 05NL69",,,05NL69,
16704,21.0,BARAJAS,"AVDA. CENTRAL, 25",,,25,
16705,17.0,VILLAVERDE,AVDA. OROVILLA / AVDA. FELICIDAD,,,50,
16706,16.0,HORTALEZA,AVDA. NICETO ALCALA ZAMORA / CALL. PINTOR LUCIO MUÑOZ,,,4,
16707,9.0,MONCLOA-ARAVACA,CTRA. DEHESA DE LA VILLA / AVDA. COMPLUTENSE,,,14,
16708,4.0,SALAMANCA,"AUTOV. M-30, 06NC79",,,06NC79,
16709,11.0,CARABANCHEL,"PASEO. SANTA MARIA DE LA CABEZA, 140",,,140,
16710,18.0,VILLA DE VALLECAS,CALL. SIERRA VIEJA / CALL. SIERRA DE TORNAVACAS,,,31,
16711,4.0,SALAMANCA,CALL. HERMOSILLA / CALL. CASTELLO,,,50,
16712,5.0,CHAMARTÍN,"CALL. SUERO DE QUIÑONES, 13",,,13,
16713,11.0,CARABANCHEL,CALL. MARQUES DE JURA REAL / CALL. ANTONIO LOPEZ,,,2,
16714,7.0,CHAMBERÍ,"CALL. GARCIA DE PAREDES, 36",,,36,
16715,17.0,VILLAVERDE,"CALL. DOCTOR MARTIN AREVALO, 46",,,46,
16716,16.0,HORTALEZA,CALL. SILVANO / CALL. ALCORISA,,,1,
16717,17.0,VILLAVERDE,"CALL. LEONOR GONGORA, 28",,,28,
16718,11.0,CARABANCHEL,CALL. FORSITIA / CALL. SOLEDADES,,,8,
16719,15.0,CIUDAD LINEAL,"CALL. HERMANOS GARCIA NOBLEJAS, 172",,,172,
16720,5.0,CHAMARTÍN,CALL. FRANCISCO SILVELA / CALL. PRINCIPE DE VERGARA,,,95,
16721,14.0,MORATALAZ,"AUTOV. M-30, 09XC04",,,09XC04,
16722,8.0,FUENCARRAL-EL PARDO,CALL. NUESTRA SEÑORA DE VALVERDE / CALL. ANTONIO DE CABEZON,,,2,
16723,8.0,FUENCARRAL-EL PARDO,"CALL. SANTIAGO DE COMPOSTELA, 40",,,40,
16724,2.0,ARGANZUELA,AVDA. PLANETARIO / CALL. MENESES,,,8,
16725,17.0,VILLAVERDE,CALL. ALCOCER / AVDA. ANDALUCIA,,,1,
16726,8.0,FUENCARRAL-EL PARDO,CALL. VALCARLOS / CALL. PUENTE LA REINA,,,15,
16727,9.0,MONCLOA-ARAVACA,CALL. FRANCISCO Y JACINTO ALCANTARA / PASEO. CAMOENS Y VALERO,,,1,
16728,6.0,TETUÁN,CALL. SAN AQUILINO / CALL. SAN BENITO,,,6,
16729,2.0,ARGANZUELA,"CALL. MARTIN SOLER, 10",,,10,
16730,1.0,CENTRO,"CALL. ALBERTO AGUILERA, 15",,,15,
16731,2.0,ARGANZUELA,"CALL. POBLADURA DEL VALLE, 5",,,5,
16732,9.0,MONCLOA-ARAVACA,"AVDA. GALAXIA, 3",,,3,
16733,14.0,MORATALAZ,"AUTOV. M-23, FAROLA 30",,,0,
16734,16.0,HORTALEZA,CALL. NEVADO DEL CUMBAL / CALL. MACUAJE,,,8,
16735,13.0,PUENTE DE VALLECAS,AVDA. BUENOS AIRES / CALL. SIERRA SALVADA,,,1,
16736,4.0,SALAMANCA,"AUTOV. M-30, 06NC00",,,06NC00,
16737,20.0,SAN BLAS-CANILLEJAS,"CALL. SAN NARCISO, 18",,,18,
16738,20.0,SAN BLAS-CANILLEJAS,AVDA. LUIS ARAGONÉS FAROLA 5,,,4,
16739,20.0,SAN BLAS-CANILLEJAS,"CALL. MUSAS, 22",,,22,
16740,1.0,CENTRO,PASEO. RECOLETOS / CALL. RECOLETOS,,,21,
16741,7.0,CHAMBERÍ,PLAZA. ALONSO MARTINEZ / CALL. SANTA ENGRACIA,,,1,
16742,5.0,CHAMARTÍN,CALL. MARIA DE MOLINA / CALL. LOPEZ DE HOYOS,,,21,
16743,3.0,RETIRO,"AVDA. CIUDAD DE BARCELONA, 226",,,226,
16744,2.0,ARGANZUELA,PASEO. ESPERANZA / CALL. GARGANTILLA,,,41,
16745,8.0,FUENCARRAL-EL PARDO,CALL. ISLA DE FORMOSA / CALL. AFUERAS A VALVERDE,,,1,
