route_key,linea_id,linea_nombre
300,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
301,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
302,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
303,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
304,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
305,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
306,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
307,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
308,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
309,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
310,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
311,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
312,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
313,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
314,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
315,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
316,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
317,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
318,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
319,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
320,171,Madrid (Plaza de Castilla) - Urb. Santo Domingo
321,180,Alcobendas - Algete
322,180,Alcobendas - Algete
323,180,Alcobendas - Algete
324,180,Alcobendas - Algete
325,180,Alcobendas - Algete
326,180,Alcobendas - Algete
327,180,Alcobendas - Algete
328,180,Alcobendas - Algete
329,180,Alcobendas - Algete
330,180,Alcobendas - Algete
331,180,Alcobendas - Algete
332,180,Alcobendas - Algete
333,180,Alcobendas - Algete
334,180,Alcobendas - Algete
335,180,Alcobendas - Algete
336,180,Alcobendas - Algete
337,180,Alcobendas - Algete
338,180,Alcobendas - Algete
339,180,Alcobendas - Algete
340,181,Madrid (Plaza de Castilla) - Algete
341,181,Madrid (Plaza de Castilla) - Algete
342,181,Madrid (Plaza de Castilla) - Algete
343,181,Madrid (Plaza de Castilla) - Algete
344,181,Madrid (Plaza de Castilla) - Algete
345,181,Madrid (Plaza de Castilla) - Algete
346,181,Madrid (Plaza de Castilla) - Algete
347,181,Madrid (Plaza de Castilla) - Algete
348,181,Madrid (Plaza de Castilla) - Algete
349,181,Madrid (Plaza de Castilla) - Algete
350,181,Madrid (Plaza de Castilla) - Algete
351,181,Madrid (Plaza de Castilla) - Algete
352,181,Madrid (Plaza de Castilla) - Algete
353,181,Madrid (Plaza de Castilla) - Algete
354,181,Madrid (Plaza de Castilla) - Algete
355,181,Madrid (Plaza de Castilla) - Algete
356,181,Madrid (Plaza de Castilla) - Algete
357,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
358,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
359,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
360,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
361,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
362,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
363,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
364,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
365,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
366,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
367,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
368,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
369,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
370,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
371,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
372,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
373,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
374,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
375,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
376,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
377,182,Madrid (Plaza de Castilla) - Algete - Valdeolmos
378,183,Madrid (Plaza de Castilla) - Cobeña - Algete
379,183,Madrid (Plaza de Castilla) - Cobeña - Algete
380,183,Madrid (Plaza de Castilla) - Cobeña - Algete
381,183,Madrid (Plaza de Castilla) - Cobeña - Algete
382,183,Madrid (Plaza de Castilla) - Cobeña - Algete
383,183,Madrid (Plaza de Castilla) - Cobeña - Algete
384,183,Madrid (Plaza de Castilla) - Cobeña - Algete
385,183,Madrid (Plaza de Castilla) - Cobeña - Algete
386,183,Madrid (Plaza de Castilla) - Cobeña - Algete
387,183,Madrid (Plaza de Castilla) - Cobeña - Algete
388,183,Madrid (Plaza de Castilla) - Cobeña - Algete
389,183,Madrid (Plaza de Castilla) - Cobeña - Algete
390,183,Madrid (Plaza de Castilla) - Cobeña - Algete
391,183,Madrid (Plaza de Castilla) - Cobeña - Algete
